participant_id,condition,llm_provider,demographics_age,demographics_gender,demographics_education,debrief_stias_average,debrief_noticed_persuasion,debrief_changed_mind,dilemma,rating_pre,rating_post,chat_turns,rating_change,had_chat,stance_mode,llm_framework,low_rating_framework,ai_argues_for,moved_toward_ai,outcome,stance_label
21,persuade,qwen,33,male,high_school,3.6666666666666665,FALSE,FALSE,G_PO_Submarine_Oxygen,4,4,NA,0,FALSE,NA,NA,utilitarian,NA,NA,NA,NA
21,persuade,qwen,33,male,high_school,3.6666666666666665,FALSE,FALSE,G_IA_Data_Breach,2,2,NA,0,FALSE,NA,NA,deontological,NA,NA,NA,NA
21,persuade,qwen,33,male,high_school,3.6666666666666665,FALSE,FALSE,K_bgO_Abduction,3,2,NA,-1,FALSE,NA,NA,utilitarian,NA,NA,NA,NA
21,persuade,qwen,33,male,high_school,3.6666666666666665,FALSE,FALSE,K_bgA_Vaccine,2,2,NA,0,FALSE,NA,NA,deontological,NA,NA,NA,NA
21,persuade,qwen,33,male,high_school,3.6666666666666665,FALSE,FALSE,K_bsA_Construction_Site,2,1,7,-1,TRUE,same,deontological,deontological,low,TRUE,Moved toward AI,Reinforcing
21,persuade,qwen,33,male,high_school,3.6666666666666665,FALSE,FALSE,G_PA_Terrorist_Negotiation,4,4,7,0,TRUE,opposite,utilitarian,deontological,high,NA,No Change,Opposing
21,persuade,qwen,33,male,high_school,3.6666666666666665,FALSE,FALSE,G_IO_Hospital_Fumes,3,3,7,0,TRUE,same,utilitarian,utilitarian,low,NA,No Change,Reinforcing
21,persuade,qwen,33,male,high_school,3.6666666666666665,FALSE,FALSE,K_bsO_Rawanda,7,6,9,-1,TRUE,opposite,utilitarian,utilitarian,low,TRUE,Moved toward AI,Opposing
25,neutral,anthropic,36,male,bachelor,4.666666666666667,TRUE,TRUE,K_bsA_Vaccine,1,1,NA,0,FALSE,NA,NA,deontological,NA,NA,NA,NA
25,neutral,anthropic,36,male,bachelor,4.666666666666667,TRUE,TRUE,G_PO_Submarine_Oxygen,1,1,NA,0,FALSE,NA,NA,utilitarian,NA,NA,NA,NA
25,neutral,anthropic,36,male,bachelor,4.666666666666667,TRUE,TRUE,G_IA_Data_Breach,3,3,NA,0,FALSE,NA,NA,deontological,NA,NA,NA,NA
25,neutral,anthropic,36,male,bachelor,4.666666666666667,TRUE,TRUE,K_bsO_Abduction,4,3,NA,-1,FALSE,NA,NA,utilitarian,NA,NA,NA,NA
25,neutral,anthropic,36,male,bachelor,4.666666666666667,TRUE,TRUE,K_bgA_Rawanda,6,7,7,1,TRUE,opposite,deontological,deontological,low,FALSE,Backfired,Opposing
25,neutral,anthropic,36,male,bachelor,4.666666666666667,TRUE,TRUE,K_bgO_Construction_Site,7,7,7,0,TRUE,same,deontological,utilitarian,high,NA,No Change,Reinforcing
25,neutral,anthropic,36,male,bachelor,4.666666666666667,TRUE,TRUE,G_PA_Terrorist_Negotiation,7,7,19,0,TRUE,opposite,deontological,deontological,low,NA,No Change,Opposing
25,neutral,anthropic,36,male,bachelor,4.666666666666667,TRUE,TRUE,G_IO_Hospital_Fumes,2,1,7,-1,TRUE,same,utilitarian,utilitarian,low,TRUE,Moved toward AI,Reinforcing
24,persuade_info,qwen,34,male,high_school,1.3333333333333333,TRUE,FALSE,G_PO_Submarine_Oxygen,3,3,NA,0,FALSE,NA,NA,utilitarian,NA,NA,NA,NA
24,persuade_info,qwen,34,male,high_school,1.3333333333333333,TRUE,FALSE,G_IA_Data_Breach,3,3,NA,0,FALSE,NA,NA,deontological,NA,NA,NA,NA
24,persuade_info,qwen,34,male,high_school,1.3333333333333333,TRUE,FALSE,K_bsO_Abduction,4,4,NA,0,FALSE,NA,NA,utilitarian,NA,NA,NA,NA
